deltaH: 0.175781
Omega_M  Omega_Lambda   Likelihood
0.009375 0.182812 0.996803 
0.009375 0.187500 0.996725 
0.009375 0.192187 0.996646 
0.009375 0.196875 0.996565 
0.009375 0.201563 0.996484 
0.009375 0.206250 0.996401 
0.009375 0.210938 0.996317 
0.009375 0.215625 0.996233 
0.009375 0.220312 0.996147 
0.009375 0.225000 0.996060 
0.009375 0.229687 0.995972 
0.009375 0.234375 0.995883 
0.009375 0.239062 0.995793 
0.009375 0.243750 0.995702 
0.009375 0.248437 0.995610 
0.009375 0.253125 0.995516 
0.009375 0.257812 0.995422 
0.009375 0.262500 0.995326 
0.009375 0.267187 0.995229 
0.009375 0.271875 0.995131 
0.009375 0.276562 0.995032 
0.009375 0.281250 0.994932 
0.009375 0.285938 0.994831 
0.009375 0.290625 0.994729 
0.009375 0.295312 0.994625 
0.009375 0.300000 0.994520 
0.009375 0.304688 0.994414 
0.009375 0.309375 0.994307 
0.009375 0.314062 0.994199 
0.009375 0.318750 0.994089 
0.009375 0.323437 0.993979 
0.009375 0.328125 0.993867 
0.009375 0.332813 0.993754 
0.009375 0.337500 0.993640 
0.009375 0.342187 0.993524 
0.009375 0.346875 0.993407 
0.009375 0.351562 0.993289 
0.009375 0.356250 0.993170 
0.009375 0.360937 0.993050 
0.009375 0.365625 0.992928 
0.009375 0.370312 0.992805 
0.009375 0.375000 0.992681 
0.009375 0.379688 0.992556 
0.009375 0.384375 0.992429 
0.009375 0.389062 0.992301 
0.009375 0.393750 0.992172 
0.009375 0.398438 0.992042 
0.009375 0.403125 0.991910 
0.009375 0.407812 0.991777 
0.009375 0.412500 0.991642 
0.009375 0.417187 0.991506 
0.009375 0.421875 0.991369 
0.009375 0.426563 0.991231 
0.009375 0.431250 0.991091 
0.009375 0.435937 0.990950 
0.009375 0.440625 0.990808 
0.009375 0.445312 0.990664 
0.009375 0.450000 0.990519 
0.009375 0.454687 0.990373 
0.009375 0.459375 0.990225 
0.009375 0.464062 0.990075 
0.009375 0.468750 0.989925 
0.009375 0.473437 0.989773 
0.009375 0.478125 0.989619 
0.009375 0.482812 0.989464 
0.009375 0.487500 0.989308 
0.009375 0.492188 0.989150 
0.009375 0.496875 0.988991 
0.009375 0.501563 0.988831 
0.009375 0.506250 0.988669 
0.009375 0.510937 0.988505 
0.009375 0.515625 0.988340 
0.009375 0.520312 0.988174 
0.009375 0.525000 0.988006 
0.009375 0.529687 0.987837 
0.009375 0.534375 0.987666 
0.009375 0.539062 0.987493 
0.009375 0.543750 0.987320 
0.009375 0.548438 0.987144 
0.009375 0.553125 0.986967 
0.009375 0.557812 0.986789 
0.009375 0.562500 0.986609 
0.009375 0.567187 0.986427 
0.009375 0.571875 0.986244 
0.009375 0.576562 0.986059 
0.009375 0.581250 0.985873 
0.009375 0.585938 0.985685 
0.009375 0.590625 0.985496 
0.009375 0.595313 0.985305 
0.009375 0.600000 0.985112 
0.009375 0.604687 0.984918 
0.009375 0.609375 0.984722 
0.009375 0.614062 0.984524 
0.009375 0.618750 0.984325 
0.009375 0.623437 0.984124 
0.009375 0.628125 0.983922 
